Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     12.52     0.00   399980     0.00     0.00  std::pair<std::_Rb_tree_iterator<std::pair<int const, double> >, bool> std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_emplace_unique<std::pair<int, double> >(std::pair<int, double>&&)
  0.00     12.52     0.00   399980     0.00     0.00  std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_get_insert_unique_pos(int const&)
  0.00     12.52     0.00   399980     0.00     0.00  std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_S_left(std::_Rb_tree_node_base const*)
  0.00     12.52     0.00   399980     0.00     0.00  std::_Rb_tree_node<std::pair<int const, double> >*& std::forward<std::_Rb_tree_node<std::pair<int const, double> >*&>(std::remove_reference<std::_Rb_tree_node<std::pair<int const, double> >*&>::type&)
  0.00     12.52     0.00   399980     0.00     0.00  double& std::forward<double&>(std::remove_reference<double&>::type&)
  0.00     12.52     0.00   399980     0.00     0.00  int& std::forward<int&>(std::remove_reference<int&>::type&)
  0.00     12.52     0.00   399980     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, double> >&& std::forward<std::_Rb_tree_iterator<std::pair<int const, double> > >(std::remove_reference<std::_Rb_tree_iterator<std::pair<int const, double> > >::type&)
  0.00     12.52     0.00   399980     0.00     0.00  bool&& std::forward<bool>(std::remove_reference<bool>::type&)
  0.00     12.52     0.00   399980     0.00     0.00  double&& std::forward<double>(std::remove_reference<double>::type&)
  0.00     12.52     0.00   399980     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00     12.52     0.00   349981     0.00     0.00  std::_Rb_tree<int, std::pair<int const, unsigned int>, std::_Select1st<std::pair<int const, unsigned int> >, std::less<int>, std::allocator<std::pair<int const, unsigned int> > >::_M_end()
  0.00     12.52     0.00   299976     0.00     0.00  bool __gnu_cxx::operator!=<Node**, std::vector<Node*, std::allocator<Node*> > >(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > const&, __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > const&)
  0.00     12.52     0.00   299973     0.00     0.00  __gnu_cxx::new_allocator<Node*>::~new_allocator()
  0.00     12.52     0.00   299973     0.00     0.00  std::allocator<Node*>::~allocator()
  0.00     12.52     0.00   259980     0.00     0.00  std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul>::operator()()
  0.00     12.52     0.00   250000     0.00     0.00  std::piecewise_construct_t const& std::forward<std::piecewise_construct_t const&>(std::remove_reference<std::piecewise_construct_t const&>::type&)
  0.00     12.52     0.00   250000     0.00     0.00  std::tuple<>&& std::forward<std::tuple<> >(std::remove_reference<std::tuple<> >::type&)
  0.00     12.52     0.00   250000     0.00     0.00  std::tuple<int const&>&& std::forward<std::tuple<int const&> >(std::remove_reference<std::tuple<int const&> >::type&)
  0.00     12.52     0.00   249982     0.00     0.00  std::_Rb_tree<int, std::pair<int const, unsigned int>, std::_Select1st<std::pair<int const, unsigned int> >, std::less<int>, std::allocator<std::pair<int const, unsigned int> > >::_M_begin()
  0.00     12.52     0.00   249981     0.00     0.00  std::operator==(std::_Rb_tree_iterator<std::pair<int const, unsigned int> > const&, std::_Rb_tree_iterator<std::pair<int const, unsigned int> > const&)
  0.00     12.52     0.00   249980     0.00     0.00  __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >::operator++()
  0.00     12.52     0.00   249980     0.00     0.00  __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >::operator*() const
  0.00     12.52     0.00   249980     0.00     0.00  std::uniform_real_distribution<double>::param_type::b() const
  0.00     12.52     0.00   249980     0.00     0.00  std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul>::min()
